"Order Ref"	"Job"	"Job Suffix"	"Item"	"PRJ  MGR"	"Status"	"Released"	"Job Date"	"Start Date"	"End Date"	"Projected"	"Expected"	"Last Tran Date"	"Name"	"Destination Type"	"Output Type"	"Qty Ordered"	"Completed"	"Scrapped"	"Job Type"	"Destination Line-Suffix"	"Priority"	"Scheduled"	"Job Picked"	"Order Date"	"Preassign Lots"	"Preassign Serials"	"Destination Release"	"Priority Freeze"	"Est Job Suffix"	"RMA Rework/Repair"	"ECN"	"Low Level"	"Plan On Save"	"Ready"	"Cost Budget"	"Cost Budget Acct Unit1"	"Cost Budget Acct Unit2"	"Cost Budget Acct Unit3"	"Cost Budget Acct Unit4"	"Unlinked Reference"	"Customer"	"Due Date"	"Est Job"	"Parent Job Suffix"	"Operation"	"Seq"	"Finish Job"	"Finish Job Suffix"	"WIP Matl Acct"	"WIP Matl Acct Unit2"	"WIP Complete"	"WIP Matl Total"	"WIP Labor Acct"	"WIP Labor Acct Unit2"	"WIP Labor Complete"	"WIP Labor Total"	"WIP Fovhd Acct"	"WIP Fovhd Acct Unit 2"	"WIP Fix Ovhd Complete"	"WIP Fovhd Total"	"WIP Matl Complete"	"WIP Vovhd Acct"	"WIP Vovhd Acct Unit 2"	"WIP Vovhd Total"	"WIP Outside Acct"	"WIP Outside Acct Unit2"	"Parent Job"	"WIP Matl Acct Unit1"	"WIP Matl Acct Unit3"	"WIP Matl Acct Unit4"	"WIP Labor Acct Unit1"	"WIP Labor Acct Unit3"	"WIP Labor Acct Unit4"	"WIP Fovhd Acct Unit 1"	"WIP Fovhd Acct Unit 3"	"WIP Fovhd Acct Unit 4"	"WIP Vovhd Acct Unit 1"	"WIP Vovhd Acct Unit 3"	"WIP Vovhd Acct Unit 4"	"WIP Outside Acct Unit1"	"WIP Outside Acct Unit3"	"WIP Outside Acct Unit4"	"WIP Outside Complete"	"WIP Outside Total"	"S/N Prefix"	"Job"	"Customer"	"Effective Date"	"Schedule ID"	"Last Cost- Rollup Date"	"JcbAccessUnit1"	"JcbAccessUnit2"	"JcbAccessUnit3"	"JcbAccessUnit4"	"WipAccessUnit1"	"WipAccessUnit2"	"WipAccessUnit3"	"WipAccessUnit4"	"LbrAccessUnit1"	"LbrAccessUnit2"	"LbrAccessUnit3"	"LbrAccessUnit4"	"FovAccessUnit1"	"FovAccessUnit2"	"FovAccessUnit3"	"FovAccessUnit4"	"VovAccessUnit1"	"VovAccessUnit2"	"VovAccessUnit3"	"VovAccessUnit4"	"OutAccessUnit1"	"OutAccessUnit2"	"OutAccessUnit3"	"OutAccessUnit4"	"WIP Special"	"Total WIP"	"WIP Var Ovhd Complete"	"ApsOrderIDGridCol"	"Item Description"	"For Whse"	"Post Configuration"	"Lot Size"	"Min Sheet Count"	"Product Cycles"	"Post Config Status"	"Paper Consumption Qty"	"Print Quote Price"	"Co-product Mix"	"Queue Type"	"Request ID"	"Message"	"Job Description"	"Up"	"Out"	"Revision"	"IP Rework Reason Code"	"Rework Cost"	"Description"	"Printed On"	"Config Hold"	"Background Job Creation"	"Job Report Printed"	"Programmed"	"Programmed for Machining"	"Expedite"	"Ignore Expedite"	"WipOutAcctIsControlGridCol"	"WipVovhdAcctIsControlGridCol"	"WipLbrAcctIsControlGridCol"	"WipFovhdAcctIsControlGridCol"	"WipAcctIsControlGridCol"	"JcbAcctIsControlGridCol"	"ItemEcnTrackedGridCol"	"Notes"	"NotesEdit"	"From Department"	"External Order"	"Description"	"Description"	"Description"	"Description"	"Description"	"ScrapCostEdit"	"Description"	"Selected Qty"	"Generate Qty"	"Lot Prefix"	"Target Qty"	"Selected Qty"	"Generate Qty"	"Range Qty"	"Part Cost Estimate"	"Eng Estimated Hours"	"Eng Estimated Amount"	"Eng Programming Estimated Hours"	"Eng Programming Estimated Amount"	"ASY Estimated Hours"	"ASY Estimated Amount"	"Checkout Estimated Hours"	"Checkout Estimated Amount"	"Temp Labor Estimated Hours"	"Temp Labor Estimated Amount"	"Proj Mgr Labor Estimated Hours"	"Proj Mgr Labor Estimated Amount"	
""	"CH00000055"	0000	"20248050R"	""	"Released"	        2.000	"3/6/2026"	"4/16/2026"	"4/21/2026"	"7/16/2026"	        2.000	"6/25/2026"	""	"Inventory"	Item	        0.000	        0.000	        0.000	"Job"	   0	   0	1	1	""	0	0	   0	0	0000	0	"No"	 0	0	0	""	""	""	""	""	0	""	""	""	0000	   0	   0	"CH00000055"	0000	"13000"	"9100"	          0.00	"       7,690.90"	"13100"	"9100"	          0.00	"       1,277.74"	"13200"	"9100"	          0.00	          0.00	          0.00	"13200"	"9100"	"       2,190.66"	"13000"	"9100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	          0.00	          0.00	""	"CH00000055-0000"	""	""	""	""	""	""	""	""	"No Access"	"Accessible"	"No Access"	"No Access"	"No Access"	"Accessible"	"No Access"	"No Access"	"No Access"	"Accessible"	"Accessible"	"No Access"	"No Access"	"Accessible"	"Accessible"	"No Access"	"No Access"	"Accessible"	"No Access"	"No Access"	          0.00	"      11,159.30"	          0.00	".CH00000055          .00000.JOB"	"STK ASY LIFT SIDE RH"	"MAIN"	0	1.00000000	          0.00	0	"0"	        0.000	       0.00000	""	""	""	""	""			"A"	""		""	""	0	0	0	0		0	0	0	0	0	0	0		0	""	""		0	"WIP - Material"	"WIP - Labor"	"WIP - Overhead"	"WIP - Overhead"	"WIP - Material"	0.00	""	      0	      0	""	       0	      0	      0	      0	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	
""	"CH00000061"	0000	"20239127"	""	"Released"	        2.000	"4/6/2026"	"5/4/2026"	"5/5/2026"	"7/15/2026"	        2.000	"6/15/2026"	""	"Inventory"	Item	        0.000	        0.000	        0.000	"Job"	   0	   0	1	1	""	0	0	   0	0	0000	0	"No"	 0	0	0	""	""	""	""	""	0	""	""	""	0000	   0	   0	"CH00000061"	0000	"13000"	"9100"	          0.00	"       3,347.07"	"13100"	"9100"	          0.00	"       1,272.27"	"13200"	"9100"	          0.00	          0.00	          0.00	"13200"	"9100"	"       1,644.38"	"13000"	"9100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	          0.00	          0.00	""	"CH00000061-0000"	""	""	""	""	""	""	""	""	"No Access"	"Accessible"	"No Access"	"No Access"	"No Access"	"Accessible"	"No Access"	"No Access"	"No Access"	"Accessible"	"Accessible"	"No Access"	"No Access"	"Accessible"	"Accessible"	"No Access"	"No Access"	"Accessible"	"No Access"	"No Access"	          0.00	"       6,263.72"	          0.00	".CH00000061          .00000.JOB"	"STK ASY SKIP CARRIAGE"	"MAIN"	0	1.00000000	          0.00	0	"0"	        0.000	       0.00000	""	""	""	""	""			"A"	""		""	""	0	0	0	0		0	0	0	0	0	0	0		0	""	""		0	"WIP - Material"	"WIP - Labor"	"WIP - Overhead"	"WIP - Overhead"	"WIP - Material"	0.00	""	      0	      0	""	       0	      0	      0	      0	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	      0.000	          0.00	
